Reference Year,Basis Type,Season,State,Crop,Human Labour Cost (₹/ha),Seasonal Avg Daily Wage (₹/day),Yield (qtl/ha),Wage Reference Period,Human Labour Source,Wage Source,Yield Source,Source Report,Annex 5.6 Report Page,Notes
2021-22,Actual,Kharif,Gujarat,Soybean,19785,240.7,6.3,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",261,
2021-22,Actual,Kharif,Gujarat,Urad,15962,240.7,4.14,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",251,
2021-22,Actual,Kharif,Haryana,Bajra,16163,399.6,14.34,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",233,
2021-22,Actual,Kharif,Haryana,Cotton,27399,399.6,10.89,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",270,
2021-22,Actual,Kharif,Haryana,Paddy,23291,399.6,52.87,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",223,
2021-22,Actual,Kharif,Himachal Pradesh,Maize,23265,468.1,19.32,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",237,
2021-22,Actual,Kharif,Himachal Pradesh,Paddy,27444,468.1,30.92,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",224,
2021-22,Actual,Kharif,Jharkhand,Paddy,24890,,27.35,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",224,
2021-22,Actual,Kharif,Karnataka,Arhar (Tur),10522,366,6.67,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",244,
2021-22,Actual,Kharif,Karnataka,Cotton,30364,366,13.29,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",270,
